"name","height","weight","year_start","year_end","dob","college","position"
"Vander Blue","76","200","2014","2018","1992-07-17","Marquette University","G"
"Bogdan Bogdanovic","78","205","2018","2018","1992-08-18","","G"
"Bojan Bogdanovic","80","216","2015","2018","1989-04-18","","G-F"
"Andrew Bogut","85","260","2006","2018","1984-11-28","University of Utah","C"
"Joel Bolomboy","81","235","2017","2018","1994-01-28","Weber State University","F"
"Devin Booker","78","206","2016","2018","1996-10-30","University of Kentucky","G"
"Trevor Booker","80","228","2011","2018","1987-11-25","Clemson University","F"
"Avery Bradley","74","180","2011","2018","1990-11-26","University of Texas at Austin","G"
"Tony Bradley","83","240","2018","2018","1998-01-08","University of North Carolina","F-C"
"Corey Brewer","81","186","2008","2018","1986-03-05","University of Florida","F-G"
"Malcolm Brogdon","77","215","2017","2018","1992-12-11","University of Virginia","G"
"Aaron Brooks","73","161","2008","2018","1985-01-14","University of Oregon","G"
"Dillon Brooks","78","220","2018","2018","1996-01-22","University of Oregon","G-F"
"Bobby Brown","74","175","2009","2018","1984-09-24","California State University, Fullerton","G"
"Jaylen Brown","79","225","2017","2018","1996-10-24","University of California","F-G"
"Lorenzo Brown","77","189","2014","2018","1990-08-26","North Carolina State University","G"
"Sterling Brown","77","225","2018","2018","1995-02-10","Southern Methodist University","G"
"Nicolas Brussino","79","195","2017","2018","1993-03-02","","G-F"
"Thomas Bryant","82","248","2018","2018","1997-07-31","Indiana University","C"
"Reggie Bullock","79","205","2014","2018","1991-03-16","University of North Carolina","G-F"
"Alec Burks","78","214","2012","2018","1991-07-20","University of Colorado","G"
"Jimmy Butler","80","236","2012","2018","1989-09-14","Marquette University","F-G"
"Bruno Caboclo","81","218","2015","2018","1995-09-21","","F"
"Jose Calderon","75","200","2006","2018","1981-09-28","","G"
"Kentavious Caldwell-Pope","77","205","2014","2018","1993-02-18","University of Georgia","G"
"Isaiah Canaan","73","201","2014","2018","1991-05-21","Murray State University","G"
"Clint Capela","82","240","2015","2018","1994-05-18","","C"
"DeMarre Carroll","80","215","2010","2018","1986-07-27","University of Missouri","F"
"Vince Carter","78","220","1999","2018","1977-01-26","University of North Carolina","G-F"
"Michael Carter-Williams","78","190","2014","2018","1991-10-10","Syracuse University","G"
"Alex Caruso","77","186","2018","2018","1994-02-28","Texas A&M University","G"
"Omri Casspi","81","225","2010","2018","1988-06-22","","F"
"Willie Cauley-Stein","85","240","2016","2018","1993-08-18","University of Kentucky","F-C"
"Tyler Cavanaugh","81","239","2018","2018","1994-02-09","George Washington University","F"
"Mario Chalmers","74","190","2009","2018","1986-05-19","University of Kansas","G"
"Tyson Chandler","85","240","2002","2018","1982-10-02","","C"
"Wilson Chandler","80","225","2008","2018","1987-05-10","DePaul University","F"
"Marquese Chriss","82","233","2017","2018","1997-07-02","University of Washington","F"
"Ian Clark","75","175","2014","2018","1991-03-07","Belmont University","G"
"Jordan Clarkson","77","194","2015","2018","1992-06-07","University of Missouri","G"
"Gian Clavell","76","185","2018","2018","1993-11-26","Colorado State University","G"
"Antonius Cleveland","78","195","2018","2018","1994-02-02","Southeast Missouri State University","G"
"John Collins","82","235","2018","2018","1997-09-23","Wake Forest University","F"
"Zach Collins","85","232","2018","2018","1997-11-19","Gonzaga University","C-F"
"Kyle Collinsworth","78","210","2018","2018","1991-10-03","Brigham Young University","G-F"
"Darren Collison","73","175","2010","2018","1987-08-23","University of California, Los Angeles","G"
"Nick Collison","82","255","2005","2018","1980-10-26","University of Kansas","F"
"Mike Conley","73","175","2008","2018","1987-10-11","Ohio State University","G"
"Pat Connaughton","77","206","2016","2018","1993-01-06","University of Notre Dame","G"
"Quinn Cook","74","184","2017","2018","1993-03-23","Duke University","G"
"Charles Cooke","77","196","2018","2018","1994-07-01","University of Dayton","G"
"Jack Cooley","81","260","2015","2018","1991-04-04","University of Notre Dame","F-C"
"Matt Costello","81","245","2018","2018","1993-08-05","Michigan State University","F"
"DeMarcus Cousins","83","270","2011","2018","1990-08-13","University of Kentucky","C-F"
"Robert Covington","81","215","2014","2018","1990-12-14","Tennessee State University","F"
"Allen Crabbe","78","210","2014","2018","1992-04-09","University of California","G-F"
"Torrey Craig","78","215","2018","2018","1990-12-19","University of South Carolina Upstate","G-F"
"Jamal Crawford","77","200","2001","2018","1980-03-20","University of Michigan","G"
"Jordan Crawford","76","195","2011","2018","1988-10-23","Xavier University","G"
"Jae Crowder","78","235","2013","2018","1990-07-06","Marquette University","F"
"Dante Cunningham","80","230","2010","2018","1987-04-22","Villanova University","F"
"Stephen Curry","75","190","2010","2018","1988-03-14","Davidson College","G"
"Troy Daniels","76","205","2014","2018","1991-07-15","Virginia Commonwealth University","G"
"Anthony Davis","82","253","2013","2018","1993-03-11","University of Kentucky","F-C"
"Deyonta Davis","83","237","2017","2018","1996-12-02","Michigan State University","F-C"
"Ed Davis","82","240","2011","2018","1989-06-05","University of North Carolina","F"
"Dewayne Dedmon","85","245","2014","2018","1989-08-12","University of Southern California","C"
"Sam Dekker","81","230","2016","2018","1994-05-06","University of Wisconsin","F"
"Malcolm Delaney","75","190","2017","2018","1989-03-11","Virginia Polytechnic Institute and State University","G"
"Matthew Dellavedova","76","198","2014","2018","1990-09-08","Saint Marys College of California","G"
"Luol Deng","81","220","2005","2018","1985-04-16","Duke University","F"
"DeMar DeRozan","79","221","2010","2018","1989-08-07","University of Southern California","G-F"
"Cheick Diallo","81","220","2017","2018","1996-09-13","University of Kansas","F"
"Gorgui Dieng","83","241","2014","2018","1990-01-18","University of Louisville","C"
"Spencer Dinwiddie","78","200","2015","2018","1993-04-06","University of Colorado","G"
"Tyler Dorsey","77","183","2018","2018","1996-02-14","University of Oregon","G"
"Damyean Dotson","78","205","2018","2018","1994-05-06","University of Houston","G"
"Goran Dragic","75","190","2009","2018","1986-05-06","","G"
"Andre Drummond","83","279","2013","2018","1993-08-10","University of Connecticut","C"
"Jared Dudley","79","225","2008","2018","1985-07-10","Boston College","F-G"
"Kris Dunn","76","210","2017","2018","1994-03-18","Providence College","G"
"Kevin Durant","81","240","2008","2018","1988-09-29","University of Texas at Austin","F-G"
"Henry Ellenson","83","245","2017","2018","1997-01-13","Marquette University","F"
"Wayne Ellington","76","200","2010","2018","1987-10-29","University of North Carolina","G"
"Joel Embiid","85","250","2017","2018","1994-03-16","University of Kansas","C-F"
"James Ennis","79","210","2015","2018","1990-07-01","California State University, Long Beach","F"
"Tyler Ennis","75","194","2015","2018","1994-08-24","Syracuse University","G"
"Jawun Evans","73","185","2018","2018","1996-07-26","Oklahoma State University","G"
"Tyreke Evans","78","220","2010","2018","1989-09-19","University of Memphis","G-F"
"Kenneth Faried","80","228","2012","2018","1989-11-19","Morehead State University","F"
"Derrick Favors","82","265","2011","2018","1991-07-15","Georgia Institute of Technology","F-C"
"Kay Felder","69","176","2017","2018","1995-03-29","Oakland University","G"
"Cristiano Felicio","82","275","2016","2018","1992-07-07","","F-C"
"Raymond Felton","73","205","2006","2018","1984-06-26","University of North Carolina","G"
"Terrance Ferguson","79","184","2018","2018","1998-05-17","","G-F"
"Yogi Ferrell","73","180","2017","2018","1993-05-09","Indiana University","G"
"Dorian Finney-Smith","80","220","2017","2018","1993-05-04","University of Florida","F"
"Bryn Forbes","75","190","2017","2018","1993-07-23","Michigan State University","G"
"Evan Fournier","79","205","2013","2018","1992-10-29","","G-F"
"DeAaron Fox","75","170","2018","2018","1997-12-20","University of Kentucky","G"
"Tim Frazier","73","170","2015","2018","1990-11-01","Pennsylvania State University","G"
"Channing Frye","83","255","2006","2018","1983-05-17","University of Arizona","C-F"
"Markelle Fultz","76","195","2018","2018","1998-05-29","University of Washington","G"
"Danilo Gallinari","82","225","2009","2018","1988-08-08","","F"
"Langston Galloway","74","200","2015","2018","1991-12-09","Saint Josephs University","G"
"Marc Gasol","85","255","2009","2018","1985-01-29","","C"
"Pau Gasol","85","250","2002","2018","1980-07-06","","F-C"
"Rudy Gay","80","230","2007","2018","1986-08-17","University of Connecticut","F"
"Paul George","81","220","2011","2018","1990-05-02","California State University, Fresno","F"
"Marcus Georges-Hunt","77","216","2017","2018","1994-03-28","Georgia Institute of Technology","G"
"Taj Gibson","81","225","2010","2018","1985-06-24","University of Southern California","F"
"Manu Ginobili","78","205","2003","2018","1977-07-28","","G"
"Rudy Gobert","85","245","2014","2018","1992-06-26","","C"
"Aaron Gordon","81","220","2015","2018","1995-09-16","University of Arizona","F"
"Eric Gordon","76","215","2009","2018","1988-12-25","Indiana University","G"
"Marcin Gortat","83","240","2008","2018","1984-02-17","","C-F"
"Treveon Graham","78","220","2017","2018","1993-10-29","Virginia Commonwealth University","G"
"Jerami Grant","80","210","2015","2018","1994-03-12","Syracuse University","F"
"Jerian Grant","76","195","2016","2018","1992-10-09","University of Notre Dame","G"
"Danny Green","78","215","2010","2018","1987-06-22","University of North Carolina","G-F"
"Draymond Green","79","230","2013","2018","1990-03-04","Michigan State University","F"
"JaMychal Green","81","227","2015","2018","1990-06-21","University of Alabama","F"
"Jeff Green","81","235","2008","2018","1986-08-28","Georgetown University","F"
"Blake Griffin","82","251","2011","2018","1989-03-16","University of Oklahoma","F"
"Daniel Hamilton","79","195","2018","2018","1995-08-08","University of Connecticut","G-F"
"Tim Hardaway","78","205","2014","2018","1992-03-16","University of Michigan","G"
"James Harden","77","220","2010","2018","1989-08-26","Arizona State University","G"
"Maurice Harkless","81","215","2013","2018","1993-05-11","St. Johns University","F-G"
"Montrezl Harrell","80","240","2016","2018","1994-01-26","University of Louisville","F-C"
"Devin Harris","75","192","2005","2018","1983-02-27","University of Wisconsin","G"
"Gary Harris","76","210","2015","2018","1994-09-14","Michigan State University","G"
"Joe Harris","78","219","2015","2018","1991-09-06","University of Virginia","G"
"Tobias Harris","81","235","2012","2018","1992-07-15","University of Tennessee","F"
"Andrew Harrison","78","213","2017","2018","1994-10-28","University of Kentucky","G"
"Josh Hart","77","209","2018","2018","1995-03-06","Villanova University","G"
"Udonis Haslem","80","235","2004","2018","1980-06-09","University of Florida","F-C"
"Gordon Hayward","80","226","2011","2018","1990-03-23","Butler University","F-G"
"John Henson","83","229","2013","2018","1990-12-28","University of North Carolina","C-F"
"Juan Hernangomez","81","230","2017","2018","1995-09-28","","F"
"Willy Hernangomez","83","240","2017","2018","1994-05-27","","C"
"Mario Hezonja","80","215","2016","2018","1995-02-25","","F-G"
"Buddy Hield","76","214","2017","2018","1993-12-17","University of Oklahoma","G"
"Nene Hilario","83","250","2003","2018","1982-09-13","","F-C"
"George Hill","75","188","2009","2018","1986-05-04","Indiana University-Purdue University Indianapolis","G"
"Darrun Hilliard","78","205","2016","2018","1993-04-13","Villanova University","G"
"Jrue Holiday","76","205","2010","2018","1990-06-12","University of California, Los Angeles","G"
"Justin Holiday","78","185","2013","2018","1989-04-05","University of Washington","G"
"John Holland","77","205","2018","2018","1988-11-06","Boston University","G-F"
"Rondae Hollis-Jefferson","79","220","2016","2018","1995-01-03","University of Arizona","F"
"Richaun Holmes","82","245","2016","2018","1993-10-15","Bowling Green State University","F-C"
"Rodney Hood","80","206","2015","2018","1992-10-20","Duke University","G-F"
"Al Horford","82","245","2008","2018","1986-06-03","University of Florida","C-F"
"Danuel House","79","207","2017","2018","1993-06-07","Texas A&M University","G"
"Dwight Howard","83","265","2005","2018","1985-12-08","","C"
"Josh Huestis","79","230","2016","2018","1991-12-19","Stanford University","F"
"Vince Hunter","80","208","2018","2018","1994-08-05","University of Texas at El Paso","F"
"Serge Ibaka","82","235","2010","2018","1989-09-18","","F-C"
"Andre Iguodala","78","215","2005","2018","1984-01-28","University of Arizona","G-F"
"Ersan Ilyasova","82","235","2007","2018","1987-05-15","","F"
"Joe Ingles","80","226","2015","2018","1987-10-02","","F-G"
"Brandon Ingram","81","190","2017","2018","1997-09-02","Duke University","F"
"Kyrie Irving","75","193","2012","2018","1992-03-23","Duke University","G"
"Jonathan Isaac","82","210","2018","2018","1997-10-03","Florida State University","F"
"Wesley Iwundu","79","193","2018","2018","1994-12-20","Kansas State University","F"
"Jarrett Jack","75","200","2006","2018","1983-10-28","Georgia Institute of Technology","G"
"Demetrius Jackson","73","201","2017","2018","1994-09-07","University of Notre Dame","G"
"Josh Jackson","80","207","2018","2018","1997-02-10","University of Kansas","F-G"
"Justin Jackson","80","200","2018","2018","1995-03-28","University of North Carolina","G-F"
"Reggie Jackson","75","208","2012","2018","1990-04-16","Boston College","G"
"LeBron James","80","250","2004","2018","1984-12-30","","F-G"
"Mike James","73","189","2018","2018","1990-08-18","Lamar University","G"
"Al Jefferson","82","289","2005","2018","1985-01-04","","C-F"
"Richard Jefferson","79","233","2002","2018","1980-06-21","University of Arizona","F"
"Jonas Jerebko","82","231","2010","2018","1987-03-02","","F"
"Amir Johnson","81","240","2006","2018","1987-05-01","","F-C"
"Brice Johnson","82","230","2017","2018","1994-06-27","University of North Carolina","F"
"Dakari Johnson","85","255","2018","2018","1995-09-22","University of Kentucky","C"
"James Johnson","81","250","2010","2018","1987-02-20","Wake Forest University","F"
"Joe Johnson","79","240","2002","2018","1981-06-29","University of Arkansas","G-F"
"Stanley Johnson","79","245","2016","2018","1996-05-29","University of Arizona","F"
"Tyler Johnson","76","186","2015","2018","1992-05-07","California State University, Fresno","G"
"Wesley Johnson","79","215","2011","2018","1987-07-11","Syracuse University","F-G"
"Nikola Jokic","82","250","2016","2018","1995-02-19","","C-F"
"Damian Jones","85","245","2017","2018","1995-06-30","Vanderbilt University","F-C"
"Derrick Jones","79","190","2017","2018","1997-02-15","University of Nevada, Las Vegas","F"
"Jalen Jones","79","223","2018","2018","1993-05-27","Texas A&M University","G"
"Tyus Jones","74","195","2016","2018","1996-05-10","Duke University","G"
"DeAndre Jordan","83","265","2009","2018","1988-07-21","Texas A&M University","C"
"Cory Joseph","75","193","2012","2018","1991-08-20","University of Texas at Austin","G"
"Frank Kaminsky","85","242","2016","2018","1993-04-04","University of Wisconsin","F-C"
"Enes Kanter","83","245","2012","2018","1992-05-20","","C"
"Luke Kennard","78","206","2018","2018","1996-06-24","Duke University","G"
"Michael Kidd-Gilchrist","79","232","2013","2018","1993-09-26","University of Kentucky","F"
"Sean Kilpatrick","76","210","2015","2018","1990-01-06","University of Cincinnati","G"
"Maxi Kleber","82","220","2018","2018","1992-01-29","","F"
"Furkan Korkmaz","79","185","2018","2018","1997-07-24","","G"
"Kyle Korver","79","212","2004","2018","1981-03-17","Creighton University","G-F"
"Kosta Koufos","85","265","2009","2018","1989-02-24","Ohio State University","C"
"Kyle Kuzma","81","220","2018","2018","1995-07-24","University of Utah","F"
"Mindaugas Kuzminskas","81","215","2017","2018","1989-10-19","","F"
"Skal Labissiere","83","225","2017","2018","1996-03-18","University of Kentucky","F"
"Jeremy Lamb","77","185","2013","2018","1992-05-30","University of Connecticut","G-F"
"Shane Larkin","71","175","2014","2018","1992-10-02","University of Miami","G"
"Joffrey Lauvergne","83","220","2015","2018","1991-09-30","","C-F"
"Jake Layman","81","210","2017","2018","1994-03-07","University of Maryland","F"
"T.J. Leaf","82","222","2018","2018","1997-04-30","University of California, Los Angeles","F"
"Courtney Lee","77","200","2009","2018","1985-10-03","Western Kentucky University","G"
"Alex Len","85","260","2014","2018","1993-06-16","University of Maryland","C"
"Kawhi Leonard","79","230","2012","2018","1991-06-29","San Diego State University","F"
"Meyers Leonard","85","245","2013","2018","1992-02-27","University of Illinois at Urbana-Champaign","C-F"
"Jon Leuer","82","228","2012","2018","1989-05-14","University of Wisconsin","F"
"Caris LeVert","79","203","2017","2018","1994-08-25","University of Michigan","G-F"
"DeAndre Liggins","78","209","2012","2018","1988-03-31","University of Kentucky","G"
"Damian Lillard","75","195","2013","2018","1990-07-15","Weber State University","G"
"Jeremy Lin","75","200","2011","2018","1988-08-23","Harvard University","G"
"Shaun Livingston","79","192","2005","2018","1985-09-11","","G"
"Kevon Looney","81","220","2016","2018","1996-02-06","University of California, Los Angeles","F-C"
"Brook Lopez","85","275","2009","2018","1988-04-01","Stanford University","C"
"Robin Lopez","85","255","2009","2018","1988-04-01","Stanford University","C"
"Kevin Love","82","251","2009","2018","1988-09-07","University of California, Los Angeles","F"
"Kyle Lowry","73","205","2007","2018","1986-03-25","Villanova University","G"
"Timothe Luwawu-Cabarrot","78","205","2017","2018","1995-05-09","","F"
"Tyler Lydon","82","215","2018","2018","1996-04-09","Syracuse University","F"
"Trey Lyles","82","234","2016","2018","1995-11-05","University of Kentucky","F"
"Shelvin Mack","75","203","2012","2018","1990-04-22","Butler University","G"
"Josh Magette","73","160","2018","2018","1989-11-28","Alabama - Huntsville","G"
"Ian Mahinmi","83","250","2008","2018","1986-11-05","","C"
"Thon Maker","85","216","2017","2018","1997-02-25","","F-C"
"Boban Marjanovic","87","290","2016","2018","1988-08-15","","C"
"Lauri Markkanen","85","230","2018","2018","1997-05-22","University of Arizona","F"
"Jarell Martin","82","239","2016","2018","1994-05-24","Louisiana State University","F"
"Frank Mason","73","189","2018","2018","1994-04-03","University of Kansas","G"
"Mangok Mathiang","82","230","2018","2018","1992-10-08","University of Louisville","C-F"
"Wesley Matthews","77","220","2010","2018","1986-10-14","Marquette University","G"
"Luc Mbah a Moute","80","230","2009","2018","1986-09-09","University of California, Los Angeles","F"
"James Michael McAdoo","81","230","2015","2018","1993-01-04","University of North Carolina","F"
"Patrick McCaw","79","185","2017","2018","1995-10-25","University of Nevada, Las Vegas","G"
"C.J. McCollum","75","190","2014","2018","1991-09-19","Lehigh University","G"
"T.J. McConnell","74","200","2016","2018","1992-03-25","University of Arizona","G"
"Chris McCullough","83","200","2016","2018","1995-02-05","Syracuse University","F"
"Doug McDermott","80","225","2015","2018","1992-01-03","Creighton University","F"
"JaVale McGee","85","270","2009","2018","1988-01-19","University of Nevada, Reno","C"
"Alfonzo McKinnie","80","215","2018","2018","1992-09-17","University of Wisconsin-Green Bay","F"
"Ben McLemore","77","195","2014","2018","1993-02-11","University of Kansas","G"
"Jodie Meeks","76","210","2010","2018","1987-08-21","University of Kentucky","G"
"Salah Mejri","85","245","2016","2018","1986-06-15","","C"
"Jordan Mickey","80","235","2016","2018","1994-07-09","Louisiana State University","F"
"Khris Middleton","80","234","2013","2018","1991-08-12","Texas A&M University","F-G"
"C.J. Miles","78","225","2006","2018","1987-04-18","","G-F"
"Darius Miller","80","235","2013","2018","1990-03-21","University of Kentucky","F"
"Malcolm Miller","79","210","2018","2018","1993-03-06","College of the Holy Cross","F"
"Patty Mills","73","185","2010","2018","1988-08-11","Saint Marys College of California","G"
"Paul Millsap","80","246","2007","2018","1985-02-10","Louisiana Tech University","F"
"Nikola Mirotic","82","220","2015","2018","1991-02-11","","F"
"Donovan Mitchell","75","211","2018","2018","1996-09-07","University of Louisville","G"
"Malik Monk","75","200","2018","2018","1998-02-04","University of Kentucky","G"
"Greg Monroe","83","265","2011","2018","1990-06-04","Georgetown University","C-F"
"ETwaun Moore","76","191","2012","2018","1989-02-28","Purdue University","G"
"Eric Moreland","82","238","2015","2018","1991-12-24","Oregon State University","F-C"
"Marcus Morris","81","235","2012","2018","1989-09-02","University of Kansas","F"
"Markieff Morris","82","245","2012","2018","1989-09-02","University of Kansas","F"
"Monte Morris","75","175","2018","2018","1995-06-27","Iowa State University","G"
"Johnathan Motley","81","238","2018","2018","1995-05-04","Baylor University","F"
"Timofey Mozgov","85","275","2011","2018","1986-07-16","","C"
"Emmanuel Mudiay","77","200","2016","2018","1996-03-05","","G"
"Shabazz Muhammad","78","223","2014","2018","1992-11-13","University of California, Los Angeles","F-G"
"Dejounte Murray","77","170","2017","2018","1996-09-19","University of Washington","G"
"Jamal Murray","76","207","2017","2018","1997-02-23","University of Kentucky","G"
"Mike Muscala","83","240","2014","2018","1991-07-01","Bucknell University","F-C"
"Abdel Nader","78","230","2018","2018","1993-09-25","Iowa State University","F"
"Larry Nance","81","230","2016","2018","1993-01-01","University of Wyoming","F"
"Shabazz Napier","73","175","2015","2018","1991-07-14","University of Connecticut","G"
"Jameer Nelson","73","190","2005","2018","1982-02-09","Saint Josephs University","G"
"Raul Neto","73","179","2016","2018","1992-05-19","","G"
"Joakim Noah","83","230","2008","2018","1985-02-25","University of Florida","C"
"Nerlens Noel","83","228","2015","2018","1994-04-10","University of Kentucky","C-F"
"Lucas Nogueira","85","241","2015","2018","1992-07-26","","C"
"Dirk Nowitzki","85","245","1999","2018","1978-06-19","","F"
"Frank Ntilikina","77","190","2018","2018","1998-07-28","","G"
"Jusuf Nurkic","85","280","2015","2018","1994-08-23","","C"
"David Nwaba","76","209","2017","2018","1993-01-14","California Polytechnic State University, San Luis Obispo","G"
"Johnny OBryant","81","257","2015","2018","1993-06-01","Louisiana State University","F-C"
"Royce ONeale","78","215","2018","2018","1993-06-05","Baylor University","F"
"Kyle OQuinn","82","250","2013","2018","1990-03-26","Norfolk State University","F-C"
"Semi Ojeleye","79","241","2018","2018","1994-12-05","Southern Methodist University","F"
"Jahlil Okafor","83","275","2016","2018","1995-12-15","Duke University","C-F"
"Victor Oladipo","76","210","2014","2018","1992-05-04","Indiana University","G"
"Kelly Olynyk","85","238","2014","2018","1991-04-19","Gonzaga University","C-F"
"Cedi Osman","80","210","2018","2018","1995-04-08","","F"
"Kelly Oubre","79","205","2016","2018","1995-12-09","University of Kansas","F"
"Zaza Pachulia","83","270","2004","2018","1984-02-10","","C"
"Marcus Paige","73","175","2018","2018","1993-09-11","University of North Carolina","G"
"Georgios Papagiannis","85","240","2017","2018","1997-07-03","","C"
"Tony Parker","74","185","2002","2018","1982-05-17","","G"
"Chandler Parsons","82","230","2012","2018","1988-10-25","University of Florida","F"
"Patrick Patterson","81","230","2011","2018","1989-03-14","University of Kentucky","F"
"Brandon Paul","76","200","2018","2018","1991-04-30","University of Illinois at Urbana-Champaign","G"
"Chris Paul","73","175","2006","2018","1985-05-06","Wake Forest University","G"
"Adreian Payne","82","237","2015","2018","1991-02-19","Michigan State University","F-C"
"Elfrid Payton","76","185","2015","2018","1994-02-22","University of Louisiana at Lafayette","G"
"Gary Payton","75","190","2017","2018","1992-12-01","Oregon State University","G"
"London Perrantes","74","200","2018","2018","1994-10-03","University of Virginia","G"
"Alec Peters","81","232","2018","2018","1995-04-13","Valparaiso University","F"
"Mason Plumlee","83","245","2014","2018","1990-03-05","Duke University","C-F"
"Miles Plumlee","83","249","2013","2018","1988-09-01","Duke University","C-F"
"Jakob Poeltl","85","248","2017","2018","1995-10-15","University of Utah","C"
"Quincy Pondexter","79","220","2011","2018","1988-03-10","University of Washington","G-F"
"Otto Porter","80","198","2014","2018","1993-06-03","Georgetown University","F"
"Bobby Portis","83","230","2016","2018","1995-02-10","University of Arkansas","F"
"Kristaps Porzingis","87","240","2016","2018","1995-08-02","","F-C"
"Dwight Powell","83","240","2015","2018","1991-07-20","Stanford University","F-C"
"Norman Powell","76","215","2016","2018","1993-05-25","University of California, Los Angeles","G"
"Alex Poythress","79","238","2017","2018","1993-09-06","University of Kentucky","F"
"Jacob Pullen","73","200","2018","2018","1989-11-10","Kansas State University","G"
"Zhou Qi","85","210","2018","2018","1996-01-16","","F-C"
"Ivan Rabb","82","220","2018","2018","1997-02-04","University of California","F"
"Julius Randle","81","250","2015","2018","1994-11-29","University of Kentucky","F-C"
"Zach Randolph","81","260","2002","2018","1981-07-16","Michigan State University","F-C"
"J.J. Redick","76","190","2007","2018","1984-06-24","Duke University","G"
"Willie Reed","82","220","2016","2018","1990-05-16","Saint Louis University","F-C"
"Josh Richardson","78","200","2016","2018","1993-09-15","University of Tennessee","G"
"Malachi Richardson","78","205","2017","2018","1996-01-05","Syracuse University","G"
"Austin Rivers","76","200","2013","2018","1992-08-01","Duke University","G"
"Andre Roberson","79","210","2014","2018","1991-12-04","University of Colorado","G-F"
"Rajon Rondo","73","186","2007","2018","1986-02-22","University of Kentucky","G"
"Derrick Rose","75","190","2009","2018","1988-10-04","University of Memphis","G"
"Terrence Ross","79","206","2013","2018","1991-02-05","University of Washington","F-G"
