"player_id","name","height","weight","year_start","year_end","dob","college_id"
"44","Patrick Beverley","73","185","2013","2018","1988-07-12","168"
"45","Khem Birch","81","220","2018","2018","1992-09-28","149"
"46","Jabari Bird","78","197","2018","2018","1994-07-03","100"
"47","Bismack Biyombo","81","255","2012","2018","1992-08-28","58"
"48","Nemanja Bjelica","82","240","2016","2018","1988-05-09","58"
"49","Tarik Black","81","250","2015","2018","1991-11-22","174"
"50","Antonio Blakeney","76","197","2018","2018","1996-10-04","11"
"51","Eric Bledsoe","73","205","2011","2018","1989-12-09","79"
"52","Vander Blue","76","200","2014","2018","1992-07-17","101"
"53","Bogdan Bogdanovic","78","205","2018","2018","1992-08-18","58"
"54","Bojan Bogdanovic","80","216","2015","2018","1989-04-18","58"
"55","Andrew Bogut","85","260","2006","2018","1984-11-28","103"
"56","Joel Bolomboy","81","235","2017","2018","1994-01-28","123"
"57","Devin Booker","78","206","2016","2018","1996-10-30","79"
"58","Trevor Booker","80","228","2011","2018","1987-11-25","163"
"59","Avery Bradley","74","180","2011","2018","1990-11-26","185"
"60","Tony Bradley","83","240","2018","2018","1998-01-08","43"
"61","Corey Brewer","81","186","2008","2018","1986-03-05","138"
"62","Malcolm Brogdon","77","215","2017","2018","1992-12-11","111"
"63","Aaron Brooks","73","161","2008","2018","1985-01-14","21"
"64","Dillon Brooks","78","220","2018","2018","1996-01-22","21"
"65","Bobby Brown","74","175","2009","2018","1984-09-24","5"
"66","Jaylen Brown","79","225","2017","2018","1996-10-24","100"
"67","Lorenzo Brown","77","189","2014","2018","1990-08-26","59"
"68","Sterling Brown","77","225","2018","2018","1995-02-10","22"
"69","Nicolas Brussino","79","195","2017","2018","1993-03-02","58"
"70","Thomas Bryant","82","248","2018","2018","1997-07-31","30"
"71","Reggie Bullock","79","205","2014","2018","1991-03-16","43"
"72","Alec Burks","78","214","2012","2018","1991-07-20","146"
"73","Jimmy Butler","80","236","2012","2018","1989-09-14","101"
"74","Bruno Caboclo","81","218","2015","2018","1995-09-21","58"
"75","Jose Calderon","75","200","2006","2018","1981-09-28","58"
"76","Kentavious Caldwell-Pope","77","205","2014","2018","1993-02-18","171"
"77","Isaiah Canaan","73","201","2014","2018","1991-05-21","51"
"78","Clint Capela","82","240","2015","2018","1994-05-18","58"
"79","DeMarre Carroll","80","215","2010","2018","1986-07-27","156"
"80","Vince Carter","78","220","1999","2018","1977-01-26","43"
"81","Michael Carter-Williams","78","190","2014","2018","1991-10-10","34"
"82","Alex Caruso","77","186","2018","2018","1994-02-28","170"
"83","Omri Casspi","81","225","2010","2018","1988-06-22","58"
"84","Willie Cauley-Stein","85","240","2016","2018","1993-08-18","79"
"85","Tyler Cavanaugh","81","239","2018","2018","1994-02-09","167"
"86","Mario Chalmers","74","190","2009","2018","1986-05-19","174"
"87","Tyson Chandler","85","240","2002","2018","1982-10-02","58"
"88","Wilson Chandler","80","225","2008","2018","1987-05-10","113"
"89","Marquese Chriss","82","233","2017","2018","1997-07-02","126"
"90","Ian Clark","75","175","2014","2018","1991-03-07","80"
"91","Jordan Clarkson","77","194","2015","2018","1992-06-07","156"
"92","Gian Clavell","76","185","2018","2018","1993-11-26","98"
"93","Antonius Cleveland","78","195","2018","2018","1994-02-02","141"
"94","John Collins","82","235","2018","2018","1997-09-23","95"
"95","Zach Collins","85","232","2018","2018","1997-11-19","154"
"96","Kyle Collinsworth","78","210","2018","2018","1991-10-03","145"
"97","Darren Collison","73","175","2010","2018","1987-08-23","105"
"98","Nick Collison","82","255","2005","2018","1980-10-26","174"
"99","Mike Conley","73","175","2008","2018","1987-10-11","102"
"100","Pat Connaughton","77","206","2016","2018","1993-01-06","24"
"101","Quinn Cook","74","184","2017","2018","1993-03-23","29"
"102","Charles Cooke","77","196","2018","2018","1994-07-01","93"
"103","Jack Cooley","81","260","2015","2018","1991-04-04","24"
"104","Matt Costello","81","245","2018","2018","1993-08-05","139"
"105","DeMarcus Cousins","83","270","2011","2018","1990-08-13","79"
"106","Robert Covington","81","215","2014","2018","1990-12-14","57"
"107","Allen Crabbe","78","210","2014","2018","1992-04-09","100"
"108","Torrey Craig","78","215","2018","2018","1990-12-19","151"
"109","Jamal Crawford","77","200","2001","2018","1980-03-20","125"
"110","Jordan Crawford","76","195","2011","2018","1988-10-23","119"
"111","Jae Crowder","78","235","2013","2018","1990-07-06","101"
"112","Dante Cunningham","80","230","2010","2018","1987-04-22","127"
"113","Stephen Curry","75","190","2010","2018","1988-03-14","54"
"114","Troy Daniels","76","205","2014","2018","1991-07-15","150"
"115","Anthony Davis","82","253","2013","2018","1993-03-11","79"
"116","Deyonta Davis","83","237","2017","2018","1996-12-02","139"
"117","Ed Davis","82","240","2011","2018","1989-06-05","43"
"118","Dewayne Dedmon","85","245","2014","2018","1989-08-12","4"
"119","Sam Dekker","81","230","2016","2018","1994-05-06","140"
"120","Malcolm Delaney","75","190","2017","2018","1989-03-11","134"
"121","Matthew Dellavedova","76","198","2014","2018","1990-09-08","18"
"122","Luol Deng","81","220","2005","2018","1985-04-16","29"
"123","DeMar DeRozan","79","221","2010","2018","1989-08-07","4"
"124","Cheick Diallo","81","220","2017","2018","1996-09-13","174"
"125","Gorgui Dieng","83","241","2014","2018","1990-01-18","182"
"126","Spencer Dinwiddie","78","200","2015","2018","1993-04-06","146"
"127","Tyler Dorsey","77","183","2018","2018","1996-02-14","21"
"128","Damyean Dotson","78","205","2018","2018","1994-05-06","67"
"129","Goran Dragic","75","190","2009","2018","1986-05-06","58"
"130","Andre Drummond","83","279","2013","2018","1993-08-10","42"
"131","Jared Dudley","79","225","2008","2018","1985-07-10","128"
"132","Kris Dunn","76","210","2017","2018","1994-03-18","137"
"133","Kevin Durant","81","240","2008","2018","1988-09-29","185"
"134","Henry Ellenson","83","245","2017","2018","1997-01-13","101"
"135","Wayne Ellington","76","200","2010","2018","1987-10-29","43"
"136","Joel Embiid","85","250","2017","2018","1994-03-16","174"
"137","James Ennis","79","210","2015","2018","1990-07-01","161"
"138","Tyler Ennis","75","194","2015","2018","1994-08-24","34"
"139","Jawun Evans","73","185","2018","2018","1996-07-26","89"
"140","Tyreke Evans","78","220","2010","2018","1989-09-19","23"
"141","Kenneth Faried","80","228","2012","2018","1989-11-19","117"
"142","Derrick Favors","82","265","2011","2018","1991-07-15","115"
"143","Kay Felder","69","176","2017","2018","1995-03-29","144"
"144","Cristiano Felicio","82","275","2016","2018","1992-07-07","58"
"145","Raymond Felton","73","205","2006","2018","1984-06-26","43"
"146","Terrance Ferguson","79","184","2018","2018","1998-05-17","58"
"147","Yogi Ferrell","73","180","2017","2018","1993-05-09","30"
"148","Dorian Finney-Smith","80","220","2017","2018","1993-05-04","138"
"149","Bryn Forbes","75","190","2017","2018","1993-07-23","139"
"150","Evan Fournier","79","205","2013","2018","1992-10-29","58"
"151","DeAaron Fox","75","170","2018","2018","1997-12-20","79"
"152","Tim Frazier","73","170","2015","2018","1990-11-01","33"
"153","Channing Frye","83","255","2006","2018","1983-05-17","173"
"154","Markelle Fultz","76","195","2018","2018","1998-05-29","126"
"155","Danilo Gallinari","82","225","2009","2018","1988-08-08","58"
"156","Langston Galloway","74","200","2015","2018","1991-12-09","175"
"157","Marc Gasol","85","255","2009","2018","1985-01-29","58"
"158","Pau Gasol","85","250","2002","2018","1980-07-06","58"
"159","Rudy Gay","80","230","2007","2018","1986-08-17","42"
"160","Paul George","81","220","2011","2018","1990-05-02","13"
"161","Marcus Georges-Hunt","77","216","2017","2018","1994-03-28","115"
"162","Taj Gibson","81","225","2010","2018","1985-06-24","4"
"163","Manu Ginobili","78","205","2003","2018","1977-07-28","58"
"164","Rudy Gobert","85","245","2014","2018","1992-06-26","58"
"165","Aaron Gordon","81","220","2015","2018","1995-09-16","173"
"166","Eric Gordon","76","215","2009","2018","1988-12-25","30"
"167","Marcin Gortat","83","240","2008","2018","1984-02-17","58"
"168","Treveon Graham","78","220","2017","2018","1993-10-29","150"
"169","Jerami Grant","80","210","2015","2018","1994-03-12","34"
"170","Jerian Grant","76","195","2016","2018","1992-10-09","24"
"171","Danny Green","78","215","2010","2018","1987-06-22","43"
"172","Draymond Green","79","230","2013","2018","1990-03-04","139"
"173","JaMychal Green","81","227","2015","2018","1990-06-21","78"
"174","Jeff Green","81","235","2008","2018","1986-08-28","66"
"175","Blake Griffin","82","251","2011","2018","1989-03-16","85"
"176","Daniel Hamilton","79","195","2018","2018","1995-08-08","42"
"177","Tim Hardaway","78","205","2014","2018","1992-03-16","125"
"178","James Harden","77","220","2010","2018","1989-08-26","155"
"179","Maurice Harkless","81","215","2013","2018","1993-05-11","45"
"180","Montrezl Harrell","80","240","2016","2018","1994-01-26","182"
"181","Devin Harris","75","192","2005","2018","1983-02-27","140"
"182","Gary Harris","76","210","2015","2018","1994-09-14","139"
"183","Joe Harris","78","219","2015","2018","1991-09-06","111"
"184","Tobias Harris","81","235","2012","2018","1992-07-15","76"
"185","Andrew Harrison","78","213","2017","2018","1994-10-28","79"
"186","Josh Hart","77","209","2018","2018","1995-03-06","127"
"187","Udonis Haslem","80","235","2004","2018","1980-06-09","138"
"188","Gordon Hayward","80","226","2011","2018","1990-03-23","48"
"189","John Henson","83","229","2013","2018","1990-12-28","43"
"190","Juan Hernangomez","81","230","2017","2018","1995-09-28","58"
"191","Willy Hernangomez","83","240","2017","2018","1994-05-27","58"
"192","Mario Hezonja","80","215","2016","2018","1995-02-25","58"
"193","Buddy Hield","76","214","2017","2018","1993-12-17","85"
"194","Nene Hilario","83","250","2003","2018","1982-09-13","58"
"195","George Hill","75","188","2009","2018","1986-05-04","28"
"196","Darrun Hilliard","78","205","2016","2018","1993-04-13","127"
"197","Jrue Holiday","76","205","2010","2018","1990-06-12","105"
"198","Justin Holiday","78","185","2013","2018","1989-04-05","126"
"199","John Holland","77","205","2018","2018","1988-11-06","32"
"200","Rondae Hollis-Jefferson","79","220","2016","2018","1995-01-03","173"
"201","Richaun Holmes","82","245","2016","2018","1993-10-15","8"
"202","Rodney Hood","80","206","2015","2018","1992-10-20","29"
"203","Al Horford","82","245","2008","2018","1986-06-03","138"
"204","Danuel House","79","207","2017","2018","1993-06-07","170"
"205","Dwight Howard","83","265","2005","2018","1985-12-08","58"
"206","Josh Huestis","79","230","2016","2018","1991-12-19","177"
"207","Vince Hunter","80","208","2018","2018","1994-08-05","160"
"208","Serge Ibaka","82","235","2010","2018","1989-09-18","58"
"209","Andre Iguodala","78","215","2005","2018","1984-01-28","173"
"210","Ersan Ilyasova","82","235","2007","2018","1987-05-15","58"
"211","Joe Ingles","80","226","2015","2018","1987-10-02","58"
"212","Brandon Ingram","81","190","2017","2018","1997-09-02","29"
"213","Kyrie Irving","75","193","2012","2018","1992-03-23","29"
"214","Jonathan Isaac","82","210","2018","2018","1997-10-03","178"
"215","Wesley Iwundu","79","193","2018","2018","1994-12-20","166"
"216","Jarrett Jack","75","200","2006","2018","1983-10-28","115"
"217","Demetrius Jackson","73","201","2017","2018","1994-09-07","24"
"218","Josh Jackson","80","207","2018","2018","1997-02-10","174"
"219","Justin Jackson","80","200","2018","2018","1995-03-28","43"
"220","Reggie Jackson","75","208","2012","2018","1990-04-16","128"
"221","LeBron James","80","250","2004","2018","1984-12-30","58"
"222","Mike James","73","189","2018","2018","1990-08-18","114"
"223","Al Jefferson","82","289","2005","2018","1985-01-04","58"
"224","Richard Jefferson","79","233","2002","2018","1980-06-21","173"
"225","Jonas Jerebko","82","231","2010","2018","1987-03-02","58"
"226","Amir Johnson","81","240","2006","2018","1987-05-01","58"
"227","Brice Johnson","82","230","2017","2018","1994-06-27","43"
"228","Dakari Johnson","85","255","2018","2018","1995-09-22","79"
"229","James Johnson","81","250","2010","2018","1987-02-20","95"
"230","Joe Johnson","79","240","2002","2018","1981-06-29","168"
"231","Stanley Johnson","79","245","2016","2018","1996-05-29","173"
"232","Tyler Johnson","76","186","2015","2018","1992-05-07","13"
"233","Wesley Johnson","79","215","2011","2018","1987-07-11","34"
"234","Nikola Jokic","82","250","2016","2018","1995-02-19","58"
"235","Damian Jones","85","245","2017","2018","1995-06-30","122"
"236","Derrick Jones","79","190","2017","2018","1997-02-15","149"
"237","Jalen Jones","79","223","2018","2018","1993-05-27","170"
"238","Tyus Jones","74","195","2016","2018","1996-05-10","29"
"239","DeAndre Jordan","83","265","2009","2018","1988-07-21","170"
"240","Cory Joseph","75","193","2012","2018","1991-08-20","185"
"241","Frank Kaminsky","85","242","2016","2018","1993-04-04","140"
"242","Enes Kanter","83","245","2012","2018","1992-05-20","58"
"243","Luke Kennard","78","206","2018","2018","1996-06-24","29"
"244","Michael Kidd-Gilchrist","79","232","2013","2018","1993-09-26","79"
"245","Sean Kilpatrick","76","210","2015","2018","1990-01-06","131"
"246","Maxi Kleber","82","220","2018","2018","1992-01-29","58"
"247","Furkan Korkmaz","79","185","2018","2018","1997-07-24","58"
"248","Kyle Korver","79","212","2004","2018","1981-03-17","83"
"249","Kosta Koufos","85","265","2009","2018","1989-02-24","102"
"250","Kyle Kuzma","81","220","2018","2018","1995-07-24","103"
"251","Mindaugas Kuzminskas","81","215","2017","2018","1989-10-19","58"
"252","Skal Labissiere","83","225","2017","2018","1996-03-18","79"
"253","Jeremy Lamb","77","185","2013","2018","1992-05-30","42"
"254","Shane Larkin","71","175","2014","2018","1992-10-02","26"
"255","Joffrey Lauvergne","83","220","2015","2018","1991-09-30","58"
"256","Jake Layman","81","210","2017","2018","1994-03-07","77"
"257","T.J. Leaf","82","222","2018","2018","1997-04-30","105"
"258","Courtney Lee","77","200","2009","2018","1985-10-03","1"
"259","Alex Len","85","260","2014","2018","1993-06-16","77"
"260","Kawhi Leonard","79","230","2012","2018","1991-06-29","71"
"261","Meyers Leonard","85","245","2013","2018","1992-02-27","99"
"262","Jon Leuer","82","228","2012","2018","1989-05-14","140"
"263","Caris LeVert","79","203","2017","2018","1994-08-25","125"
"264","DeAndre Liggins","78","209","2012","2018","1988-03-31","79"
"265","Damian Lillard","75","195","2013","2018","1990-07-15","123"
"266","Jeremy Lin","75","200","2011","2018","1988-08-23","82"
"267","Shaun Livingston","79","192","2005","2018","1985-09-11","58"
"268","Kevon Looney","81","220","2016","2018","1996-02-06","105"
"269","Brook Lopez","85","275","2009","2018","1988-04-01","177"
"270","Robin Lopez","85","255","2009","2018","1988-04-01","177"
"271","Kevin Love","82","251","2009","2018","1988-09-07","105"
"272","Kyle Lowry","73","205","2007","2018","1986-03-25","127"
"273","Timothe Luwawu-Cabarrot","78","205","2017","2018","1995-05-09","58"
"274","Tyler Lydon","82","215","2018","2018","1996-04-09","34"
"275","Trey Lyles","82","234","2016","2018","1995-11-05","79"
"276","Shelvin Mack","75","203","2012","2018","1990-04-22","48"
"277","Josh Magette","73","160","2018","2018","1989-11-28","50"
"278","Ian Mahinmi","83","250","2008","2018","1986-11-05","58"
"279","Thon Maker","85","216","2017","2018","1997-02-25","58"
"280","Boban Marjanovic","87","290","2016","2018","1988-08-15","58"
"281","Lauri Markkanen","85","230","2018","2018","1997-05-22","173"
"282","Jarell Martin","82","239","2016","2018","1994-05-24","11"
"283","Frank Mason","73","189","2018","2018","1994-04-03","174"
"284","Mangok Mathiang","82","230","2018","2018","1992-10-08","182"
"285","Wesley Matthews","77","220","2010","2018","1986-10-14","101"
"286","Luc Mbah a Moute","80","230","2009","2018","1986-09-09","105"
"287","James Michael McAdoo","81","230","2015","2018","1993-01-04","43"
"288","Patrick McCaw","79","185","2017","2018","1995-10-25","149"
"289","C.J. McCollum","75","190","2014","2018","1991-09-19","130"
"290","T.J. McConnell","74","200","2016","2018","1992-03-25","173"
"291","Chris McCullough","83","200","2016","2018","1995-02-05","34"
"292","Doug McDermott","80","225","2015","2018","1992-01-03","83"
"293","JaVale McGee","85","270","2009","2018","1988-01-19","84"
"294","Alfonzo McKinnie","80","215","2018","2018","1992-09-17","148"
"295","Ben McLemore","77","195","2014","2018","1993-02-11","174"
"296","Jodie Meeks","76","210","2010","2018","1987-08-21","79"
"297","Salah Mejri","85","245","2016","2018","1986-06-15","58"
"298","Jordan Mickey","80","235","2016","2018","1994-07-09","11"
"299","Khris Middleton","80","234","2013","2018","1991-08-12","170"
"300","C.J. Miles","78","225","2006","2018","1987-04-18","58"
"301","Darius Miller","80","235","2013","2018","1990-03-21","79"
"302","Malcolm Miller","79","210","2018","2018","1993-03-06","180"
"303","Patty Mills","73","185","2010","2018","1988-08-11","18"
"304","Paul Millsap","80","246","2007","2018","1985-02-10","10"
"305","Nikola Mirotic","82","220","2015","2018","1991-02-11","58"
"306","Donovan Mitchell","75","211","2018","2018","1996-09-07","182"
"307","Malik Monk","75","200","2018","2018","1998-02-04","79"
"308","Greg Monroe","83","265","2011","2018","1990-06-04","66"
"309","ETwaun Moore","76","191","2012","2018","1989-02-28","87"
"310","Eric Moreland","82","238","2015","2018","1991-12-24","44"
"311","Marcus Morris","81","235","2012","2018","1989-09-02","174"
"312","Markieff Morris","82","245","2012","2018","1989-09-02","174"
"313","Monte Morris","75","175","2018","2018","1995-06-27","36"
"314","Johnathan Motley","81","238","2018","2018","1995-05-04","124"
"315","Timofey Mozgov","85","275","2011","2018","1986-07-16","58"
"316","Emmanuel Mudiay","77","200","2016","2018","1996-03-05","58"
"317","Shabazz Muhammad","78","223","2014","2018","1992-11-13","105"
"318","Dejounte Murray","77","170","2017","2018","1996-09-19","126"
"319","Jamal Murray","76","207","2017","2018","1997-02-23","79"
"320","Mike Muscala","83","240","2014","2018","1991-07-01","56"
"321","Abdel Nader","78","230","2018","2018","1993-09-25","36"
"322","Larry Nance","81","230","2016","2018","1993-01-01","129"
"323","Shabazz Napier","73","175","2015","2018","1991-07-14","42"
"324","Jameer Nelson","73","190","2005","2018","1982-02-09","175"
"325","Raul Neto","73","179","2016","2018","1992-05-19","58"
"326","Joakim Noah","83","230","2008","2018","1985-02-25","138"
"327","Nerlens Noel","83","228","2015","2018","1994-04-10","79"
"328","Lucas Nogueira","85","241","2015","2018","1992-07-26","58"
"329","Dirk Nowitzki","85","245","1999","2018","1978-06-19","58"
"330","Frank Ntilikina","77","190","2018","2018","1998-07-28","58"
"331","Jusuf Nurkic","85","280","2015","2018","1994-08-23","58"
"332","David Nwaba","76","209","2017","2018","1993-01-14","60"
"333","Johnny OBryant","81","257","2015","2018","1993-06-01","11"
"334","Royce ONeale","78","215","2018","2018","1993-06-05","124"
"335","Kyle OQuinn","82","250","2013","2018","1990-03-26","35"
"336","Semi Ojeleye","79","241","2018","2018","1994-12-05","22"
"337","Jahlil Okafor","83","275","2016","2018","1995-12-15","29"
"338","Victor Oladipo","76","210","2014","2018","1992-05-04","30"
"339","Kelly Olynyk","85","238","2014","2018","1991-04-19","154"
"340","Cedi Osman","80","210","2018","2018","1995-04-08","58"
"341","Kelly Oubre","79","205","2016","2018","1995-12-09","174"
"342","Zaza Pachulia","83","270","2004","2018","1984-02-10","58"
"343","Marcus Paige","73","175","2018","2018","1993-09-11","43"
"344","Georgios Papagiannis","85","240","2017","2018","1997-07-03","58"
"345","Tony Parker","74","185","2002","2018","1982-05-17","58"
"346","Chandler Parsons","82","230","2012","2018","1988-10-25","138"
"347","Patrick Patterson","81","230","2011","2018","1989-03-14","79"
"348","Brandon Paul","76","200","2018","2018","1991-04-30","99"
"349","Chris Paul","73","175","2006","2018","1985-05-06","95"
"350","Adreian Payne","82","237","2015","2018","1991-02-19","139"
"351","Elfrid Payton","76","185","2015","2018","1994-02-22","72"
"352","Gary Payton","75","190","2017","2018","1992-12-01","44"
"353","London Perrantes","74","200","2018","2018","1994-10-03","111"
"354","Alec Peters","81","232","2018","2018","1995-04-13","41"
"355","Mason Plumlee","83","245","2014","2018","1990-03-05","29"
"356","Miles Plumlee","83","249","2013","2018","1988-09-01","29"
"357","Jakob Poeltl","85","248","2017","2018","1995-10-15","103"
"358","Quincy Pondexter","79","220","2011","2018","1988-03-10","126"
"359","Otto Porter","80","198","2014","2018","1993-06-03","66"
"360","Bobby Portis","83","230","2016","2018","1995-02-10","168"
"361","Kristaps Porzingis","87","240","2016","2018","1995-08-02","58"
"362","Dwight Powell","83","240","2015","2018","1991-07-20","177"
"363","Norman Powell","76","215","2016","2018","1993-05-25","105"
"364","Alex Poythress","79","238","2017","2018","1993-09-06","79"
"365","Jacob Pullen","73","200","2018","2018","1989-11-10","166"
"366","Zhou Qi","85","210","2018","2018","1996-01-16","58"
"367","Ivan Rabb","82","220","2018","2018","1997-02-04","100"
"368","Julius Randle","81","250","2015","2018","1994-11-29","79"
"369","Zach Randolph","81","260","2002","2018","1981-07-16","139"
"370","J.J. Redick","76","190","2007","2018","1984-06-24","29"
"371","Willie Reed","82","220","2016","2018","1990-05-16","110"
"372","Josh Richardson","78","200","2016","2018","1993-09-15","76"
"373","Malachi Richardson","78","205","2017","2018","1996-01-05","34"
"374","Austin Rivers","76","200","2013","2018","1992-08-01","29"
"375","Andre Roberson","79","210","2014","2018","1991-12-04","146"
"376","Rajon Rondo","73","186","2007","2018","1986-02-22","79"
"377","Derrick Rose","75","190","2009","2018","1988-10-04","23"
"378","Terrence Ross","79","206","2013","2018","1991-02-05","126"
"379","Terry Rozier","74","190","2016","2018","1994-03-17","182"
"380","Ricky Rubio","76","194","2012","2018","1990-10-21","58"
"381","DAngelo Russell","77","195","2016","2018","1996-02-23","102"
"382","Domantas Sabonis","83","240","2017","2018","1996-05-03","154"
"383","JaKarr Sampson","81","214","2015","2018","1993-03-20","45"
"384","Dario Saric","82","223","2017","2018","1994-04-08","58"
"385","Tomas Satoransky","79","210","2017","2018","1991-10-30","58"
"386","Dennis Schroder","73","172","2014","2018","1993-09-15","58"
"387","Mike Scott","80","237","2013","2018","1988-07-16","111"
"388","Thabo Sefolosha","79","220","2007","2018","1984-05-02","58"
"389","Wayne Selden","77","230","2017","2018","1994-09-30","174"
"390","Ramon Sessions","75","190","2008","2018","1986-04-11","84"
"391","Iman Shumpert","77","220","2012","2018","1990-06-26","115"
"392","Pascal Siakam","81","230","2017","2018","1994-02-04","164"
"393","Ben Simmons","82","230","2018","2018","1996-07-20","11"
"394","Jonathon Simmons","78","195","2016","2018","1989-09-14","67"
"395","Kobi Simmons","77","166","2018","2018","1997-07-04","173"
"396","Kyle Singler","80","228","2013","2018","1988-05-04","29"
"397","Marcus Smart","76","220","2015","2018","1994-03-06","89"
"398","Dennis Smith","75","195","2018","2018","1997-11-25","59"
"399","Ish Smith","73","175","2011","2018","1988-07-05","95"
"400","J.R. Smith","78","225","2005","2018","1985-09-09","58"
"401","Jason Smith","85","245","2008","2018","1986-03-02","98"
"402","Josh Smith","81","225","2005","2018","1985-12-05","58"
"403","Tony Snell","79","200","2014","2018","1991-11-10","16"
"404","Marreese Speights","82","255","2009","2018","1987-08-04","138"
"405","Nik Stauskas","78","205","2015","2018","1993-10-07","125"
"406","Lance Stephenson","77","230","2011","2018","1990-09-05","131"
"407","Julyan Stone","78","200","2012","2018","1988-12-07","160"
"408","Caleb Swanigan","80","250","2018","2018","1997-04-18","87"
"409","Jayson Tatum","80","205","2018","2018","1998-03-03","29"
"410","Isaiah Taylor","75","170","2017","2018","1994-07-11","185"
"411","Jeff Teague","74","186","2010","2018","1988-06-10","95"
"412","Mirza Teletovic","81","242","2013","2018","1985-09-18","58"
"413","Garrett Temple","78","195","2010","2018","1986-05-08","11"
"414","Milos Teodosic","77","196","2018","2018","1987-03-19","58"
"415","Jason Terry","74","185","2000","2018","1977-09-15","173"
"416","Daniel Theis","81","215","2018","2018","1992-04-04","58"
"417","Lance Thomas","80","235","2012","2018","1988-04-24","29"
"418","Klay Thompson","79","215","2012","2018","1990-02-08","169"
"419","Tristan Thompson","81","238","2012","2018","1991-03-13","185"
"420","Sindarius Thornwell","77","212","2018","2018","1994-11-15","25"
"421","Anthony Tolliver","80","240","2009","2018","1985-06-01","83"
"422","Karl-Anthony Towns","85","244","2016","2018","1995-11-15","79"
"423","P.J. Tucker","78","245","2007","2018","1985-05-05","185"
"424","Evan Turner","79","220","2011","2018","1988-10-27","102"
"425","Myles Turner","83","243","2016","2018","1996-03-24","185"
"426","Ekpe Udoh","82","240","2011","2018","1987-05-20","124"
"427","Tyler Ulis","70","150","2017","2018","1996-01-05","79"
"428","Jonas Valanciunas","85","265","2013","2018","1992-05-06","58"
"429","Denzel Valentine","78","212","2017","2018","1993-11-16","139"
"430","Fred VanVleet","73","195","2017","2018","1994-02-25","176"
"431","Rashad Vaughn","78","202","2016","2018","1996-08-16","149"
"432","Noah Vonleh","82","240","2015","2018","1995-08-24","30"
"433","Nikola Vucevic","85","260","2012","2018","1990-10-24","4"
"434","Dwyane Wade","76","220","2004","2018","1982-01-17","101"
"435","Dion Waiters","76","225","2013","2018","1991-12-10","34"
"436","Kemba Walker","73","172","2012","2018","1990-05-08","42"
"437","John Wall","76","195","2011","2018","1990-09-06","79"
"438","Taurean Waller-Prince","80","220","2017","2018","1994-03-22","124"
"439","Derrick Walton","73","189","2018","2018","1995-04-03","125"
